# Gnuplot File : positions of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
0.01	-3.5 -3.50098 -3.5 0 0 0 1	
0.02	-3.5 -3.50294 -3.5 0 0 0 1	
0.03	-3.5 -3.50589 -3.5 0 0 0 1	
0.04	-3.5 -3.50981 -3.5 0 0 0 1	
0.05	-3.5 -3.51471 -3.5 0 0 0 1	
0.06	-3.5 -3.5206 -3.5 0 0 0 1	
0.07	-3.5 -3.52747 -3.5 0 0 0 1	
0.08	-3.5 -3.53532 -3.5 0 0 0 1	
0.09	-3.5 -3.54414 -3.5 0 0 0 1	
0.1	-3.5 -3.55395 -3.5 0 0 0 1	
0.11	-3.5 -3.56475 -3.5 0 0 0 1	
0.12	-3.5 -3.57652 -3.5 0 0 0 1	
0.13	-3.5 -3.58927 -3.5 0 0 0 1	
0.14	-3.5 -3.603 -3.5 0 0 0 1	
0.15	-3.5 -3.61772 -3.5 0 0 0 1	
0.16	-3.5 -3.63342 -3.5 0 0 0 1	
0.17	-3.5 -3.65009 -3.5 0 0 0 1	
0.18	-3.5 -3.66775 -3.5 0 0 0 1	
0.19	-3.5 -3.68639 -3.5 0 0 0 1	
0.2	-3.5 -3.70601 -3.5 0 0 0 1	
0.21	-3.5 -3.72661 -3.5 0 0 0 1	
0.22	-3.5 -3.74819 -3.5 0 0 0 1	
0.23	-3.5 -3.77076 -3.5 0 0 0 1	
0.24	-3.5 -3.7943 -3.5 0 0 0 1	
0.25	-3.5 -3.81882 -3.5 0 0 0 1	
0.26	-3.5 -3.84433 -3.5 0 0 0 1	
0.27	-3.5 -3.87082 -3.5 0 0 0 1	
0.28	-3.5 -3.89829 -3.5 0 0 0 1	
0.29	-3.5 -3.92673 -3.5 0 0 0 1	
0.3	-3.5 -3.95616 -3.5 0 0 0 1	
0.31	-3.5 -3.98658 -3.5 0 0 0 1	
0.32	-3.5 -4.01797 -3.5 0 0 0 1	
0.33	-3.5 -4.05034 -3.5 0 0 0 1	
0.34	-3.5 -4.08369 -3.5 0 0 0 1	
0.35	-3.5 -4.11803 -3.5 0 0 0 1	
0.36	-3.5 -4.15335 -3.5 0 0 0 1	
0.37	-3.5 -4.18964 -3.5 0 0 0 1	
0.38	-3.5 -4.22692 -3.5 0 0 0 1	
0.39	-3.5 -4.26518 -3.5 0 0 0 1	
0.4	-3.5 -4.30442 -3.5 0 0 0 1	
0.41	-3.5 -4.34464 -3.5 0 0 0 1	
0.42	-3.5 -4.38584 -3.5 0 0 0 1	
0.43	-3.5 -4.42803 -3.5 0 0 0 1	
0.44	-3.5 -4.47119 -3.5 0 0 0 1	
0.45	-3.5 -4.51533 -3.5 0 0 0 1	
0.46	-3.5 -4.56046 -3.5 0 0 0 1	
0.47	-3.5 -4.60657 -3.5 0 0 0 1	
0.48	-3.5 -4.65366 -3.5 0 0 0 1	
0.49	-3.5 -4.70172 -3.5 0 0 0 1	
0.5	-3.5 -4.75077 -3.5 0 0 0 1	
0.51	-3.5 -4.80081 -3.5 0 0 0 1	
