# Gnuplot File : velocities of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
0.01	0 -0.0981 0 0 0 0	
0.02	0 -0.1962 0 0 0 0	
0.03	0 -0.2943 0 0 0 0	
0.04	0 -0.3924 0 0 0 0	
0.05	0 -0.4905 0 0 0 0	
0.06	0 -0.5886 0 0 0 0	
0.07	0 -0.6867 0 0 0 0	
0.08	0 -0.7848 0 0 0 0	
0.09	0 -0.8829 0 0 0 0	
0.1	0 -0.981 0 0 0 0	
0.11	0 -1.0791 0 0 0 0	
0.12	0 -1.1772 0 0 0 0	
0.13	0 -1.2753 0 0 0 0	
0.14	0 -1.3734 0 0 0 0	
0.15	0 -1.4715 0 0 0 0	
0.16	0 -1.5696 0 0 0 0	
0.17	0 -1.6677 0 0 0 0	
0.18	0 -1.7658 0 0 0 0	
0.19	0 -1.8639 0 0 0 0	
0.2	0 -1.962 0 0 0 0	
0.21	0 -2.0601 0 0 0 0	
0.22	0 -2.1582 0 0 0 0	
0.23	0 -2.2563 0 0 0 0	
0.24	0 -2.3544 0 0 0 0	
0.25	0 -2.4525 0 0 0 0	
0.26	0 -2.5506 0 0 0 0	
0.27	0 -2.6487 0 0 0 0	
0.28	0 -2.7468 0 0 0 0	
0.29	0 -2.8449 0 0 0 0	
0.3	0 -2.943 0 0 0 0	
0.31	0 -3.0411 0 0 0 0	
0.32	0 -3.1392 0 0 0 0	
0.33	0 -3.2373 0 0 0 0	
0.34	0 -3.3354 0 0 0 0	
0.35	0 -3.4335 0 0 0 0	
0.36	0 -3.5316 0 0 0 0	
0.37	0 -3.6297 0 0 0 0	
0.38	0 -3.7278 0 0 0 0	
0.39	0 -3.8259 0 0 0 0	
0.4	0 -3.924 0 0 0 0	
0.41	0 -4.0221 0 0 0 0	
0.42	0 -4.1202 0 0 0 0	
0.43	0 -4.2183 0 0 0 0	
0.44	0 -4.3164 0 0 0 0	
0.45	0 -4.4145 0 0 0 0	
0.46	0 -4.5126 0 0 0 0	
0.47	0 -4.6107 0 0 0 0	
0.48	0 -4.7088 0 0 0 0	
0.49	0 -4.8069 0 0 0 0	
0.5	0 -4.905 0 0 0 0	
0.51	0 -5.0031 0 0 0 0	
0.52	0 -5.1012 0 0 0 0	
0.53	0 -5.1993 0 0 0 0	
0.54	0 -5.2974 0 0 0 0	
0.55	0 -5.3955 0 0 0 0	
0.56	0 -5.4936 0 0 0 0	
0.57	0 -5.5917 0 0 0 0	
0.58	0 -5.6898 0 0 0 0	
0.59	0 -5.7879 0 0 0 0	
0.6	0 -5.886 0 0 0 0	
0.61	0 -5.9841 0 0 0 0	
0.62	0 -6.0822 0 0 0 0	
0.63	0 -6.1803 0 0 0 0	
0.64	0 -6.2784 0 0 0 0	
0.65	0 -6.3765 0 0 0 0	
0.66	0 -6.4746 0 0 0 0	
0.67	0 -6.5727 0 0 0 0	
0.68	0 -6.6708 0 0 0 0	
0.69	0 -6.7689 0 0 0 0	
0.7	0 -6.867 0 0 0 0	
0.71	0 -6.9651 0 0 0 0	
0.72	0 -7.0632 0 0 0 0	
0.73	0 -7.1613 0 0 0 0	
0.74	0 -7.2594 0 0 0 0	
0.75	0 -7.3575 0 0 0 0	
0.76	0 -7.4556 0 0 0 0	
0.77	0 -7.5537 0 0 0 0	
0.78	0 -7.6518 0 0 0 0	
0.79	0 -7.7499 0 0 0 0	
0.8	0 -7.848 0 0 0 0	
0.81	0 -7.9461 0 0 0 0	
0.82	0 -8.0442 0 0 0 0	
0.83	0 -8.1423 0 0 0 0	
0.84	0 -8.2404 0 0 0 0	
0.85	0 -8.3385 0 0 0 0	
0.86	0 -8.4366 0 0 0 0	
0.87	0 -8.5347 0 0 0 0	
0.88	0 -8.6328 0 0 0 0	
0.89	0 -8.7309 0 0 0 0	
0.9	0 -8.829 0 0 0 0	
0.91	0 -8.9271 0 0 0 0	
0.92	0 -9.0252 0 0 0 0	
0.93	0 -9.1233 0 0 0 0	
0.94	0 -9.2214 0 0 0 0	
0.95	0 -9.3195 0 0 0 0	
0.96	0 -9.4176 0 0 0 0	
0.97	0 -9.5157 0 0 0 0	
0.98	0 -9.6138 0 0 0 0	
0.99	0 -9.7119 0 0 0 0	
1	0 -9.81 0 0 0 0	
1.01	0 -9.9081 0 0 0 0	
1.02	0 -10.0062 0 0 0 0	
1.03	0 -10.1043 0 0 0 0	
1.04	0 -10.2024 0 0 0 0	
1.05	0 -10.3005 0 0 0 0	
1.06	0 -10.3986 0 0 0 0	
1.07	0 -10.4967 0 0 0 0	
1.08	0 -10.5948 0 0 0 0	
1.09	0 -10.6929 0 0 0 0	
1.1	0 -10.791 0 0 0 0	
1.11	0 -10.8891 0 0 0 0	
1.12	0 -10.9872 0 0 0 0	
1.13	0 -11.0853 0 0 0 0	
1.14	0 -11.1834 0 0 0 0	
1.15	0 -11.2815 0 0 0 0	
1.16	0 -11.3796 0 0 0 0	
1.17	0 -11.4777 0 0 0 0	
1.18	0 -11.5758 0 0 0 0	
1.19	0 -11.6739 0 0 0 0	
1.2	0 -11.772 0 0 0 0	
1.21	0 -11.8701 0 0 0 0	
1.22	0 -11.9682 0 0 0 0	
1.23	0 -12.0663 0 0 0 0	
1.24	0 -12.1644 0 0 0 0	
1.25	0 -12.2625 0 0 0 0	
1.26	0 -12.3606 0 0 0 0	
1.27	0 -12.4587 0 0 0 0	
1.28	0 -12.5568 0 0 0 0	
1.29	0 -12.6549 0 0 0 0	
1.3	0 -12.753 0 0 0 0	
1.31	0 -12.8511 0 0 0 0	
1.32	0 -12.9492 0 0 0 0	
1.33	0 -13.0473 0 0 0 0	
1.34	0 -13.1454 0 0 0 0	
1.35	0 -13.2435 0 0 0 0	
1.36	0 -13.3416 0 0 0 0	
1.37	0 -13.4397 0 0 0 0	
1.38	0 -13.5378 0 0 0 0	
1.39	0 -13.6359 0 0 0 0	
1.4	0 -13.734 0 0 0 0	
1.41	0 -13.8321 0 0 0 0	
1.42	0 -13.9302 0 0 0 0	
1.43	0 -14.0283 0 0 0 0	
1.44	0 -14.1264 0 0 0 0	
1.45	0 -14.2245 0 0 0 0	
1.46	0 -14.3226 0 0 0 0	
1.47	0 -14.4207 0 0 0 0	
1.48	0 -14.5188 0 0 0 0	
1.49	0 -14.6169 0 0 0 0	
1.5	0 -14.715 0 0 0 0	
1.51	0 -14.8131 0 0 0 0	
1.52	0 -14.9112 0 0 0 0	
1.53	0 -15.0093 0 0 0 0	
1.54	0 -15.1074 0 0 0 0	
1.55	0 -15.2055 0 0 0 0	
1.56	0 -15.3036 0 0 0 0	
1.57	0 -15.4017 0 0 0 0	
1.58	0 -15.4998 0 0 0 0	
1.59	0 -15.5979 0 0 0 0	
1.6	0 -15.696 0 0 0 0	
1.61	0 -15.7941 0 0 0 0	
1.62	0 -15.8922 0 0 0 0	
1.63	0 -15.9903 0 0 0 0	
1.64	0 -16.0884 0 0 0 0	
1.65	0 -16.1865 0 0 0 0	
1.66	0 -16.2846 0 0 0 0	
1.67	0 -16.3827 0 0 0 0	
